2026-09-06T13:03:49.7814189+08:00 pid=67744 tid=12 left-down x=846 y=1216 wordForeground=False
2026-09-06T13:04:06.5527322+08:00 pid=67744 tid=12 left-down x=1992 y=1336 wordForeground=True
2026-09-06T13:04:08.5951634+08:00 pid=67744 tid=12 left-down x=1947 y=1234 wordForeground=True
2026-09-06T13:04:10.3751085+08:00 pid=67744 tid=12 left-down x=1796 y=1396 wordForeground=True
2026-09-06T13:04:11.5323282+08:00 pid=67744 tid=12 left-down x=1602 y=1458 wordForeground=True
2026-09-06T13:05:18.3895729+08:00 pid=67744 tid=12 left-down x=851 y=1174 wordForeground=False
2026-09-06T13:06:17.5185860+08:00 pid=67744 tid=12 left-down x=1302 y=747 wordForeground=False
2026-09-06T13:08:48.1165427+08:00 pid=67744 tid=12 left-down x=1302 y=747 wordForeground=True
2026-09-06T13:09:21.6031889+08:00 pid=67744 tid=12 left-down x=807 y=1221 wordForeground=False
2026-09-06T13:09:26.6395418+08:00 pid=67744 tid=12 left-down x=2025 y=1437 wordForeground=True
2026-09-06T13:09:28.1399697+08:00 pid=67744 tid=12 left-down x=1854 y=1262 wordForeground=True
2026-09-06T13:09:29.2673684+08:00 pid=67744 tid=12 left-down x=1605 y=1330 wordForeground=True
2026-09-06T13:11:25.4910979+08:00 pid=67744 tid=12 left-down x=2024 y=1163 wordForeground=True
2026-09-06T13:14:21.6777235+08:00 pid=67744 tid=12 left-down x=801 y=1230 wordForeground=False
2026-09-06T13:14:41.6833132+08:00 pid=67744 tid=12 left-down x=909 y=1354 wordForeground=False
2026-09-06T13:16:12.9949560+08:00 pid=67744 tid=12 left-down x=854 y=1380 wordForeground=False
2026-09-06T13:16:15.0255086+08:00 pid=67744 tid=12 left-down x=1838 y=1436 wordForeground=False
2026-09-06T13:20:48.0166646+08:00 pid=67744 tid=12 left-down x=897 y=1337 wordForeground=False
2026-09-06T13:22:16.6021970+08:00 pid=67744 tid=12 left-down x=1079 y=2134 wordForeground=True
2026-09-06T13:23:31.0362707+08:00 pid=67744 tid=12 left-down x=912 y=1198 wordForeground=True
2026-09-06T13:23:56.3777813+08:00 pid=67744 tid=12 left-down x=300 y=15 wordForeground=False
2026-09-06T13:25:29.3450343+08:00 pid=67744 tid=12 left-down x=832 y=1274 wordForeground=False
2026-09-06T13:28:26.3824856+08:00 pid=67744 tid=12 left-down x=663 y=1262 wordForeground=False
2026-09-06T13:28:53.0361138+08:00 pid=67744 tid=12 left-down x=1317 y=747 wordForeground=False
2026-09-06T13:28:56.3955116+08:00 pid=67744 tid=12 left-down x=1792 y=747 wordForeground=False
2026-09-06T13:29:58.9143429+08:00 pid=67744 tid=12 left-down x=1317 y=747 wordForeground=False
2026-09-06T13:30:02.3677925+08:00 pid=67744 tid=12 left-down x=1792 y=747 wordForeground=False
2026-09-06T13:31:56.7713051+08:00 pid=67744 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T13:33:21.5425447+08:00 pid=67744 tid=12 left-down x=895 y=904 wordForeground=False
2026-09-06T13:34:33.6855769+08:00 pid=67744 tid=12 left-down x=1838 y=860 wordForeground=True
2026-09-06T13:35:08.9223226+08:00 pid=67744 tid=12 left-down x=766 y=1265 wordForeground=False
2026-09-06T13:40:46.2793593+08:00 pid=67744 tid=12 left-down x=1317 y=747 wordForeground=False
2026-09-06T13:40:49.7160824+08:00 pid=67744 tid=12 left-down x=1792 y=747 wordForeground=False
2026-09-06T13:41:58.1318280+08:00 pid=67744 tid=12 left-down x=1317 y=747 wordForeground=False
2026-09-06T13:42:01.4415158+08:00 pid=67744 tid=12 left-down x=1792 y=747 wordForeground=False
2026-09-06T13:43:10.5829255+08:00 pid=67744 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T13:51:23.2787346+08:00 pid=67744 tid=12 left-down x=1172 y=1508 wordForeground=True
2026-09-06T13:51:23.9433795+08:00 pid=67744 tid=12 left-down x=1172 y=1508 wordForeground=True
2026-09-06T13:52:14.5934889+08:00 pid=67744 tid=12 left-down x=1172 y=1088 wordForeground=True
2026-09-06T13:52:15.2957579+08:00 pid=67744 tid=12 left-down x=1172 y=1088 wordForeground=True
2026-09-06T13:56:10.8049739+08:00 pid=67744 tid=12 left-down x=1317 y=747 wordForeground=False
2026-09-06T13:56:14.1173186+08:00 pid=67744 tid=12 left-down x=1792 y=747 wordForeground=False
2026-09-06T13:57:06.4538842+08:00 pid=67744 tid=12 left-down x=1317 y=747 wordForeground=False
2026-09-06T13:57:09.9097830+08:00 pid=67744 tid=12 left-down x=1792 y=747 wordForeground=False
2026-09-06T13:58:06.3055165+08:00 pid=67744 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T14:03:33.0529177+08:00 pid=67744 tid=12 left-down x=1317 y=747 wordForeground=False
2026-09-06T14:03:36.2954458+08:00 pid=67744 tid=12 left-down x=1792 y=747 wordForeground=False
2026-09-06T14:04:16.8135186+08:00 pid=67744 tid=12 left-down x=1317 y=747 wordForeground=False
2026-09-06T14:04:20.2455822+08:00 pid=67744 tid=12 left-down x=1792 y=747 wordForeground=False
2026-09-06T14:05:25.0550421+08:00 pid=67744 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T14:07:17.2003617+08:00 pid=67744 tid=12 left-down x=1838 y=688 wordForeground=True
2026-09-06T14:08:16.8751572+08:00 pid=67744 tid=12 left-down x=1141 y=1508 wordForeground=True
2026-09-06T14:08:17.4665432+08:00 pid=67744 tid=12 left-down x=1141 y=1508 wordForeground=True
2026-09-06T14:13:46.9197044+08:00 pid=67744 tid=12 left-down x=1141 y=1508 wordForeground=True
2026-09-06T14:13:47.4886728+08:00 pid=67744 tid=12 left-down x=1141 y=1508 wordForeground=True
2026-09-06T14:16:20.6071085+08:00 pid=67744 tid=12 left-down x=1317 y=747 wordForeground=False
2026-09-06T14:16:23.9556276+08:00 pid=67744 tid=12 left-down x=1792 y=747 wordForeground=False
2026-09-06T14:17:35.5949566+08:00 pid=67744 tid=12 left-down x=1317 y=747 wordForeground=False
2026-09-06T14:17:39.1367905+08:00 pid=67744 tid=12 left-down x=1792 y=747 wordForeground=False
2026-09-06T14:18:31.6265921+08:00 pid=67744 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T14:20:28.6897319+08:00 pid=67744 tid=12 left-down x=1838 y=860 wordForeground=True
2026-09-06T14:21:51.3596927+08:00 pid=67744 tid=12 left-down x=1172 y=1568 wordForeground=True
2026-09-06T14:21:51.8962325+08:00 pid=67744 tid=12 left-down x=1172 y=1568 wordForeground=True
2026-09-06T14:22:33.2211339+08:00 pid=67744 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T14:22:35.6351723+08:00 pid=67744 tid=12 left-down x=2178 y=458 wordForeground=False
2026-09-06T14:22:38.2673944+08:00 pid=67744 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T14:30:54.8815322+08:00 pid=67744 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T14:30:57.1450139+08:00 pid=67744 tid=12 left-down x=2178 y=458 wordForeground=False
2026-09-06T14:30:59.4466068+08:00 pid=67744 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T14:32:40.4628851+08:00 pid=67744 tid=12 left-down x=2332 y=460 wordForeground=False
2026-09-06T14:37:40.9571018+08:00 pid=67744 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T14:37:43.5514185+08:00 pid=67744 tid=12 left-down x=2332 y=460 wordForeground=False
2026-09-06T14:37:45.9636489+08:00 pid=67744 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T14:39:06.6969720+08:00 pid=67744 tid=12 left-down x=2024 y=1259 wordForeground=True
2026-09-06T14:39:15.2745822+08:00 pid=67744 tid=12 left-down x=1838 y=688 wordForeground=True
2026-09-06T14:46:02.8101417+08:00 pid=67744 tid=12 left-down x=1838 y=860 wordForeground=True
2026-09-06T14:46:11.3075080+08:00 pid=67744 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T14:47:27.9364235+08:00 pid=67744 tid=12 left-down x=2332 y=460 wordForeground=False
2026-09-06T14:47:30.6980310+08:00 pid=67744 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T14:48:35.8849318+08:00 pid=67744 tid=12 left-down x=2024 y=1259 wordForeground=True
2026-09-06T14:48:44.2391271+08:00 pid=67744 tid=12 left-down x=1838 y=688 wordForeground=True
2026-09-06T14:49:32.5761299+08:00 pid=67744 tid=12 left-down x=1136 y=1941 wordForeground=True
2026-09-06T14:49:33.1917806+08:00 pid=67744 tid=12 left-down x=1136 y=1941 wordForeground=True
2026-09-06T14:50:12.6996939+08:00 pid=67744 tid=12 left-down x=1838 y=860 wordForeground=True
2026-09-06T14:53:21.1202875+08:00 pid=67744 tid=12 left-down x=1838 y=688 wordForeground=True
2026-09-06T14:53:29.9737207+08:00 pid=67744 tid=12 left-down x=1382 y=1120 wordForeground=False
