2026-09-06T15:31:51.8162067+08:00 pid=74892 tid=12 left-down x=1685 y=1610 wordForeground=True
2026-09-06T15:33:02.7648669+08:00 pid=74892 tid=12 left-down x=1838 y=860 wordForeground=True
2026-09-06T15:33:47.7360758+08:00 pid=74892 tid=12 left-down x=219 y=1479 wordForeground=False
2026-09-06T15:33:54.3468613+08:00 pid=74892 tid=12 left-down x=1323 y=1598 wordForeground=False
2026-09-06T15:34:59.9644140+08:00 pid=74892 tid=12 left-down x=1170 y=1088 wordForeground=True
2026-09-06T15:35:00.6537336+08:00 pid=74892 tid=12 left-down x=1170 y=1088 wordForeground=True
2026-09-06T15:35:42.9258004+08:00 pid=74892 tid=12 left-down x=837 y=1166 wordForeground=False
2026-09-06T15:35:59.5269581+08:00 pid=74892 tid=12 left-down x=2078 y=1366 wordForeground=True
2026-09-06T15:37:04.7056006+08:00 pid=74892 tid=12 left-down x=1776 y=1270 wordForeground=False
2026-09-06T15:46:36.4064708+08:00 pid=74892 tid=12 left-down x=1838 y=688 wordForeground=True
2026-09-06T15:46:45.3116649+08:00 pid=74892 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T15:46:48.3420785+08:00 pid=74892 tid=12 left-down x=2332 y=460 wordForeground=False
2026-09-06T15:46:50.5415663+08:00 pid=74892 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T15:49:12.3430390+08:00 pid=74892 tid=12 left-down x=1776 y=1270 wordForeground=False
2026-09-06T15:50:00.4125839+08:00 pid=74892 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T15:50:09.4480012+08:00 pid=74892 tid=12 left-down x=1838 y=860 wordForeground=True
2026-09-06T15:54:08.6862297+08:00 pid=74892 tid=12 left-down x=1170 y=1118 wordForeground=True
2026-09-06T15:54:09.5429010+08:00 pid=74892 tid=12 left-down x=1170 y=1118 wordForeground=True
2026-09-06T15:54:20.0503331+08:00 pid=74892 tid=12 left-down x=1776 y=1270 wordForeground=False
2026-09-06T15:55:18.7261598+08:00 pid=74892 tid=12 left-down x=758 y=1250 wordForeground=False
2026-09-06T15:55:44.4275773+08:00 pid=74892 tid=12 left-down x=820 y=1253 wordForeground=False
2026-09-06T15:55:56.2981356+08:00 pid=74892 tid=12 left-down x=2051 y=1093 wordForeground=True
2026-09-06T15:57:04.2179397+08:00 pid=74892 tid=12 left-down x=763 y=1216 wordForeground=False
2026-09-06T15:57:06.5609317+08:00 pid=74892 tid=12 left-down x=2028 y=1110 wordForeground=True
2026-09-06T15:57:09.5261676+08:00 pid=74892 tid=12 left-down x=770 y=1090 wordForeground=False
2026-09-06T15:57:11.2924916+08:00 pid=74892 tid=12 left-down x=618 y=1046 wordForeground=False
2026-09-06T15:57:15.2388867+08:00 pid=74892 tid=12 left-down x=1892 y=402 wordForeground=False
2026-09-06T15:57:20.1695985+08:00 pid=74892 tid=12 left-down x=1965 y=1091 wordForeground=True
2026-09-06T15:57:23.6928828+08:00 pid=74892 tid=12 left-down x=717 y=1085 wordForeground=False
2026-09-06T15:57:25.9024166+08:00 pid=74892 tid=12 left-down x=620 y=1012 wordForeground=False
