2026-09-06T17:34:28.2728832+08:00 pid=85192 [perf] Reconcile.update-cross-references: +8ms (15301ms)
2026-09-06T17:36:10.6865337+08:00 pid=85192 [perf] update-numbers.health-fail reason=no-parseable-field-codes
2026-09-06T17:36:11.2509819+08:00 pid=85192 [perf] update-numbers.health-fail reason=no-parseable-field-codes
2026-09-06T17:36:13.4609237+08:00 pid=85192 [perf] Reconcile.adopt-native-hash-copies: +1718ms (1718ms)
2026-09-06T17:36:14.6148518+08:00 pid=85192 [perf] Reconcile.capture-omml-ids: +1154ms (2872ms)
2026-09-06T17:36:15.8421303+08:00 pid=85192 [perf] Reconcile.capture-numbered-locations: +1228ms (4100ms)
2026-09-06T17:36:15.8451296+08:00 pid=85192 [perf] Reconcile.repair-shared-captions: +3ms (4103ms)
2026-09-06T17:36:15.8451296+08:00 pid=85192 [perf] Reconcile.configure-inline-formulas: +0ms (4103ms)
2026-09-06T17:36:16.0908200+08:00 pid=85192 [perf] ConfigureNumbered.native-resolve-display: +3ms (3ms)
2026-09-06T17:36:16.1386782+08:00 pid=85192 [perf] ConfigureNumbered.native-clear-artifacts: +48ms (51ms)
2026-09-06T17:36:16.3370502+08:00 pid=85192 [perf] ConfigureNumbered.native-measure-display: +198ms (249ms)
2026-09-06T17:36:16.3858861+08:00 pid=85192 [perf] ConfigureNumbered.native-ensure-table: +49ms (298ms)
2026-09-06T17:36:16.3898891+08:00 pid=85192 [perf] ConfigureNumbered.native-resolve-table-formula: +4ms (302ms)
2026-09-06T17:36:16.3898891+08:00 pid=85192 [perf] ConfigureNumbered.native-height-repair: +1ms (303ms)
2026-09-06T17:36:16.5685509+08:00 pid=85192 [perf] ConfigureNumbered.native-geometry: +178ms (481ms)
2026-09-06T17:36:16.5685509+08:00 pid=85192 [perf] ConfigureNumbered.native-1x3-table: +0ms (481ms)
2026-09-06T17:36:16.5695523+08:00 pid=85192 [perf] ConfigureNumbered.direct-number-plan: +1ms (482ms)
2026-09-06T17:36:17.1978423+08:00 pid=85192 [perf] ConfigureNumbered.direct-visible-seq: +628ms (1110ms)
2026-09-06T17:36:17.3375543+08:00 pid=85192 [perf] ConfigureNumbered.native-post-table-spacing: +140ms (1250ms)
2026-09-06T17:36:17.5092203+08:00 pid=85192 [perf] ConfigureNumbered.native-wrap-identity: +172ms (1422ms)
2026-09-06T17:36:17.7638497+08:00 pid=85192 [perf] ConfigureNumbered.native-resolve-display: +4ms (4ms)
2026-09-06T17:36:17.8213257+08:00 pid=85192 [perf] ConfigureNumbered.native-clear-artifacts: +58ms (62ms)
2026-09-06T17:36:18.0342654+08:00 pid=85192 [perf] ConfigureNumbered.native-measure-display: +213ms (275ms)
2026-09-06T17:36:18.0955748+08:00 pid=85192 [perf] ConfigureNumbered.native-ensure-table: +62ms (337ms)
2026-09-06T17:36:18.1005741+08:00 pid=85192 [perf] ConfigureNumbered.native-resolve-table-formula: +5ms (342ms)
2026-09-06T17:36:18.1015725+08:00 pid=85192 [perf] ConfigureNumbered.native-height-repair: +0ms (342ms)
2026-09-06T17:36:18.3215654+08:00 pid=85192 [perf] ConfigureNumbered.native-geometry: +220ms (562ms)
2026-09-06T17:36:18.3215654+08:00 pid=85192 [perf] ConfigureNumbered.native-1x3-table: +1ms (563ms)
2026-09-06T17:36:18.3255637+08:00 pid=85192 [perf] ConfigureNumbered.direct-number-plan: +3ms (566ms)
2026-09-06T17:36:18.9533405+08:00 pid=85192 [perf] ConfigureNumbered.direct-visible-seq: +628ms (1194ms)
2026-09-06T17:36:19.0973818+08:00 pid=85192 [perf] ConfigureNumbered.native-post-table-spacing: +145ms (1339ms)
2026-09-06T17:36:19.3076532+08:00 pid=85192 [perf] ConfigureNumbered.native-wrap-identity: +209ms (1548ms)
2026-09-06T17:36:19.5843664+08:00 pid=85192 [perf] ConfigureNumbered.native-resolve-display: +5ms (5ms)
2026-09-06T17:36:19.6406806+08:00 pid=85192 [perf] ConfigureNumbered.native-clear-artifacts: +56ms (61ms)
2026-09-06T17:36:19.8688143+08:00 pid=85192 [perf] ConfigureNumbered.native-measure-display: +228ms (289ms)
2026-09-06T17:36:19.9298163+08:00 pid=85192 [perf] ConfigureNumbered.native-ensure-table: +62ms (351ms)
2026-09-06T17:36:19.9338184+08:00 pid=85192 [perf] ConfigureNumbered.native-resolve-table-formula: +3ms (354ms)
2026-09-06T17:36:19.9338184+08:00 pid=85192 [perf] ConfigureNumbered.native-height-repair: +1ms (355ms)
2026-09-06T17:36:20.1582356+08:00 pid=85192 [perf] ConfigureNumbered.native-geometry: +224ms (579ms)
2026-09-06T17:36:20.1582356+08:00 pid=85192 [perf] ConfigureNumbered.native-1x3-table: +0ms (579ms)
2026-09-06T17:36:20.1602312+08:00 pid=85192 [perf] ConfigureNumbered.direct-number-plan: +2ms (581ms)
2026-09-06T17:36:20.8053078+08:00 pid=85192 [perf] ConfigureNumbered.direct-visible-seq: +645ms (1226ms)
