2026-09-06T10:30:16.2182875+08:00 pid=27256 tid=12 left-down x=2058 y=1221 wordForeground=True
2026-09-06T10:31:36.0046382+08:00 pid=27256 tid=12 left-down x=1225 y=1553 wordForeground=True
2026-09-06T10:31:36.4452640+08:00 pid=27256 tid=12 left-down x=1225 y=1553 wordForeground=True
2026-09-06T10:31:36.4462660+08:00 pid=27256 tid=12 double-click elapsedMs=440.759 withinX=True withinY=True nativeOleTarget=False suppressSecondDown=False dispatchCallback=True
2026-09-06T10:31:36.5401276+08:00 pid=27256 tid=8 callback-begin interceptedNativeOle=False x=1225 y=1553
2026-09-06T10:31:36.5411278+08:00 pid=27256 tid=8 addin-callback-received interceptedNativeOle=False x=1225 y=1553
2026-09-06T10:31:36.5411278+08:00 pid=27256 tid=8 callback-end
2026-09-06T10:31:36.5501267+08:00 pid=27256 tid=1 addin-coordinate-selection formulaId=<null> objectMode=<null>
2026-09-06T10:33:01.0068894+08:00 pid=27256 tid=12 left-down x=1225 y=1553 wordForeground=True
2026-09-06T10:33:01.3736158+08:00 pid=27256 tid=12 left-down x=1225 y=1553 wordForeground=True
2026-09-06T10:33:01.3736158+08:00 pid=27256 tid=12 double-click elapsedMs=365.867 withinX=True withinY=True nativeOleTarget=False suppressSecondDown=False dispatchCallback=True
2026-09-06T10:33:01.4671850+08:00 pid=27256 tid=13 callback-begin interceptedNativeOle=False x=1225 y=1553
2026-09-06T10:33:01.4671850+08:00 pid=27256 tid=13 addin-callback-received interceptedNativeOle=False x=1225 y=1553
2026-09-06T10:33:01.4681853+08:00 pid=27256 tid=13 callback-end
2026-09-06T10:33:01.4756436+08:00 pid=27256 tid=1 addin-coordinate-selection formulaId=<null> objectMode=<null>
2026-09-06T10:35:54.9986338+08:00 pid=27256 tid=12 left-down x=1190 y=747 wordForeground=False
2026-09-06T10:36:09.1695777+08:00 pid=27256 tid=12 left-down x=2024 y=1163 wordForeground=True
2026-09-06T10:37:17.4551804+08:00 pid=27256 tid=12 left-down x=1838 y=688 wordForeground=True
