2026-09-06T14:13:46.6956620+08:00 pid=69024 tid=11 left-down x=1141 y=1508 wordForeground=True
2026-09-06T14:13:47.2621984+08:00 pid=69024 tid=11 left-down x=1141 y=1508 wordForeground=True
2026-09-06T14:16:20.3506577+08:00 pid=69024 tid=11 left-down x=1317 y=747 wordForeground=False
2026-09-06T14:16:23.6749326+08:00 pid=69024 tid=11 left-down x=1792 y=747 wordForeground=False
2026-09-06T14:17:35.4075446+08:00 pid=69024 tid=11 left-down x=1317 y=747 wordForeground=False
2026-09-06T14:17:38.9226889+08:00 pid=69024 tid=11 left-down x=1792 y=747 wordForeground=False
2026-09-06T14:18:31.4478553+08:00 pid=69024 tid=11 left-down x=2024 y=1187 wordForeground=True
2026-09-06T14:20:28.4804140+08:00 pid=69024 tid=11 left-down x=1838 y=860 wordForeground=True
2026-09-06T14:21:51.1056691+08:00 pid=69024 tid=11 left-down x=1172 y=1568 wordForeground=True
2026-09-06T14:21:51.6359795+08:00 pid=69024 tid=11 left-down x=1172 y=1568 wordForeground=True
2026-09-06T14:22:32.9540412+08:00 pid=69024 tid=11 left-down x=1382 y=1120 wordForeground=False
2026-09-06T14:22:35.4374778+08:00 pid=69024 tid=11 left-down x=2178 y=458 wordForeground=False
2026-09-06T14:22:38.0885757+08:00 pid=69024 tid=11 left-down x=2492 y=460 wordForeground=False
2026-09-06T14:30:54.6125286+08:00 pid=69024 tid=11 left-down x=1382 y=1120 wordForeground=False
2026-09-06T14:30:56.9295533+08:00 pid=69024 tid=11 left-down x=2178 y=458 wordForeground=False
2026-09-06T14:30:59.2636268+08:00 pid=69024 tid=11 left-down x=2492 y=460 wordForeground=False
2026-09-06T14:32:40.2838843+08:00 pid=69024 tid=11 left-down x=2332 y=460 wordForeground=False
2026-09-06T14:37:40.6879257+08:00 pid=69024 tid=11 left-down x=1382 y=1120 wordForeground=False
2026-09-06T14:37:43.3314374+08:00 pid=69024 tid=11 left-down x=2332 y=460 wordForeground=False
2026-09-06T14:37:45.7630441+08:00 pid=69024 tid=11 left-down x=2492 y=460 wordForeground=False
2026-09-06T14:39:06.5107304+08:00 pid=69024 tid=11 left-down x=2024 y=1259 wordForeground=True
2026-09-06T14:39:15.0405240+08:00 pid=69024 tid=11 left-down x=1838 y=688 wordForeground=True
2026-09-06T14:46:02.3228989+08:00 pid=69024 tid=11 left-down x=1838 y=860 wordForeground=True
2026-09-06T14:46:11.0747436+08:00 pid=69024 tid=11 left-down x=1382 y=1120 wordForeground=False
2026-09-06T14:47:27.7488991+08:00 pid=69024 tid=11 left-down x=2332 y=460 wordForeground=False
2026-09-06T14:47:30.4727232+08:00 pid=69024 tid=11 left-down x=2492 y=460 wordForeground=False
2026-09-06T14:48:35.6323829+08:00 pid=69024 tid=11 left-down x=2024 y=1259 wordForeground=True
2026-09-06T14:48:44.0410690+08:00 pid=69024 tid=11 left-down x=1838 y=688 wordForeground=True
2026-09-06T14:49:32.3217229+08:00 pid=69024 tid=11 left-down x=1136 y=1941 wordForeground=True
2026-09-06T14:49:32.9945328+08:00 pid=69024 tid=11 left-down x=1136 y=1941 wordForeground=True
2026-09-06T14:50:12.4471258+08:00 pid=69024 tid=11 left-down x=1838 y=860 wordForeground=True
2026-09-06T14:53:20.8976362+08:00 pid=69024 tid=11 left-down x=1838 y=688 wordForeground=True
2026-09-06T14:53:29.7544835+08:00 pid=69024 tid=11 left-down x=1382 y=1120 wordForeground=False
2026-09-06T14:53:32.5486687+08:00 pid=69024 tid=11 left-down x=2332 y=460 wordForeground=False
