2026-09-06T17:09:55.7618752+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-native-measure-display: +192ms (1831ms)
2026-09-06T17:09:55.8313915+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-native-ensure-table: +70ms (1901ms)
2026-09-06T17:09:55.8353904+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-native-resolve-table-formula: +4ms (1905ms)
2026-09-06T17:09:55.8363910+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-native-height-repair: +1ms (1906ms)
2026-09-06T17:09:56.0883293+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-native-geometry: +252ms (2158ms)
2026-09-06T17:09:56.0883293+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-native-1x3-table: +0ms (2158ms)
2026-09-06T17:09:56.0893286+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-direct-number-plan: +1ms (2159ms)
2026-09-06T17:09:56.5706407+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-direct-visible-seq: +481ms (2640ms)
2026-09-06T17:09:56.7080735+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-native-post-table-spacing: +138ms (2778ms)
2026-09-06T17:09:56.8049876+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-native-wrap-identity: +97ms (2875ms)
2026-09-06T17:09:56.8059869+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-host: +0ms (2875ms)
2026-09-06T17:09:56.9649877+08:00 pid=100856 [perf] ConvertedOmmlBatch.repair-identity: +159ms (3034ms)
2026-09-06T17:09:57.2112329+08:00 pid=100856 [perf] ConvertedOmmlBatch.locate-target: +246ms (3280ms)
2026-09-06T17:09:57.2192305+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-native-resolve-display: +9ms (3289ms)
2026-09-06T17:09:57.2700195+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-native-clear-artifacts: +51ms (3340ms)
2026-09-06T17:09:57.4653500+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-native-measure-display: +195ms (3535ms)
