2026-09-06T21:30:47.7276848+08:00 pid=77768 [perf] VisibleRef.vertical-align: +8ms (30ms)
2026-09-06T21:30:47.7286839+08:00 pid=77768 [perf] ConfigureNumbered.visible-ref: +32ms (104ms)
2026-09-06T21:30:47.7296865+08:00 pid=77768 [perf] ConfigureNumbered.ole-baseline: +1ms (105ms)
2026-09-06T21:30:47.7396840+08:00 pid=77768 [perf] ConversionFinalize.caption-inventory: +0ms (0ms)
2026-09-06T21:30:47.7626851+08:00 pid=77768 [perf] number-format-batch.plan: +22ms (22ms)
2026-09-06T21:30:47.7716855+08:00 pid=77768 [perf] number-format-batch.direct-table-targets: +8ms (30ms)
2026-09-06T21:30:47.7726873+08:00 pid=77768 [perf] number-format-batch.native-hash-inventory: +1ms (31ms)
2026-09-06T21:30:47.7956867+08:00 pid=77768 [perf] number-format-batch.native-breakdown lookup=0ms code=0ms update=17ms prefix=0ms bookmark=0ms
2026-09-06T21:30:47.7966847+08:00 pid=77768 [perf] number-format-batch.legacy-targets: +24ms (55ms)
2026-09-06T21:30:47.7966847+08:00 pid=77768 [perf] number-format-batch.native-hash-targets: +1ms (56ms)
2026-09-06T21:30:47.8730027+08:00 pid=77768 [perf] number-format-batch.visible-references: +76ms (132ms)
2026-09-06T21:30:47.9426444+08:00 pid=77768 [perf] number-format-batch.extra-references: +70ms (202ms)
2026-09-06T21:30:47.9436442+08:00 pid=77768 [perf] ConversionFinalize.field-batch: +203ms (203ms)
2026-09-06T21:30:48.2162112+08:00 pid=77768 [perf] ConversionFinalize.healthy-refresh: +273ms (476ms)
2026-09-06T21:31:21.4655567+08:00 pid=77768 [perf] ConfigureNumbered.tab-paragraph: +21ms (21ms)
2026-09-06T21:31:21.5225569+08:00 pid=77768 [perf] ConfigureNumbered.native-caption: +57ms (78ms)
2026-09-06T21:31:21.5285586+08:00 pid=77768 [perf] ConfigureNumbered.visible-ref: +6ms (84ms)
2026-09-06T21:31:21.5305567+08:00 pid=77768 [perf] ConfigureNumbered.ole-baseline: +2ms (86ms)
2026-09-06T21:31:31.1659430+08:00 pid=77768 [perf] update-numbers.health-fail reason=bookmark-id-set-mismatch visible=5/5[66505ad8-7d8a-4507-9f65-c95381330a49,32e7ddd3-82af-41f6-92fe-b106811f1a14,15a2f3f9-0bd5-474e-82bf-2713d3c2388e,ffd4057a-40f4-4884-8a40-745e91f4bf85,9dbb63c7-84c2-4a66-96b6-d855e4c8a34d] caption=5/5[66505ad8-7d8a-4507-9f65-c95381330a49,32e7ddd3-82af-41f6-92fe-b106811f1a14,15a2f3f9-0bd5-474e-82bf-2713d3c2388e,ffd4057a-40f4-4884-8a40-745e91f4bf85,9dbb63c7-84c2-4a66-96b6-d855e4c8a34d] number=6/6[66505ad8-7d8a-4507-9f65-c95381330a49,32e7ddd3-82af-41f6-92fe-b106811f1a14,a02a77cf-6159-4b4b-b885-04d56a1c4aa3,15a2f3f9-0bd5-474e-82bf-2713d3c2388e,ffd4057a-40f4-4884-8a40-745e91f4bf85,9dbb63c7-84c2-4a66-96b6-d855e4c8a34d]
2026-09-06T21:31:38.6555943+08:00 pid=77768 [perf] direct-row-health-fail formulaId=c99c010f-7440-42c1-a5a2-101b6a152100 check=table-membership reason=not-in-table
2026-09-06T21:31:39.3251977+08:00 pid=77768 [perf] ConvertedOmmlBatch.inventory: +668ms (668ms)
2026-09-06T21:31:39.4701959+08:00 pid=77768 [perf] ConvertedOmmlBatch.number-plan: +146ms (814ms)
2026-09-06T21:31:39.5962752+08:00 pid=77768 [perf] ConvertedOmmlBatch.locate-target: +125ms (939ms)
2026-09-06T21:31:39.6032751+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-resolve-display: +7ms (946ms)
2026-09-06T21:31:39.6381055+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-clear-artifacts: +35ms (981ms)
2026-09-06T21:31:39.7194585+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-measure-display: +82ms (1063ms)
2026-09-06T21:31:39.7782011+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-ensure-table: +58ms (1121ms)
2026-09-06T21:31:39.7813026+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-resolve-table-formula: +3ms (1124ms)
2026-09-06T21:31:39.7813026+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-height-repair: +1ms (1125ms)
2026-09-06T21:31:39.9587279+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-geometry: +177ms (1302ms)
2026-09-06T21:31:39.9587279+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-1x3-table: +0ms (1302ms)
2026-09-06T21:31:39.9597295+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-direct-number-plan: +1ms (1303ms)
2026-09-06T21:31:40.2164416+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-direct-visible-seq: +257ms (1560ms)
2026-09-06T21:31:40.2780443+08:00 pid=77768 [perf] remove-owned-post-table-anchor generated=625:626 original=626:639
2026-09-06T21:31:40.2930429+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-post-table-spacing: +76ms (1636ms)
2026-09-06T21:31:40.3410435+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-wrap-identity: +49ms (1685ms)
2026-09-06T21:31:40.3420436+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-host: +0ms (1685ms)
2026-09-06T21:31:40.4441663+08:00 pid=77768 [perf] ConvertedOmmlBatch.repair-identity: +103ms (1788ms)
2026-09-06T21:31:40.5696627+08:00 pid=77768 [perf] ConvertedOmmlBatch.locate-target: +125ms (1913ms)
2026-09-06T21:31:40.5756630+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-resolve-display: +6ms (1919ms)
2026-09-06T21:31:40.6146648+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-clear-artifacts: +39ms (1958ms)
2026-09-06T21:31:40.7101027+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-measure-display: +95ms (2053ms)
2026-09-06T21:31:40.7587236+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-ensure-table: +49ms (2102ms)
