2026-09-06T16:27:46.1213480+08:00 pid=75316 tid=12 left-down x=1874 y=1436 wordForeground=True
2026-09-06T16:27:56.6195795+08:00 pid=75316 tid=12 left-down x=700 y=1238 wordForeground=False
2026-09-06T16:28:01.9242644+08:00 pid=75316 tid=12 left-down x=1742 y=1814 wordForeground=False
2026-09-06T16:28:19.1313015+08:00 pid=75316 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T16:29:38.9742969+08:00 pid=75316 tid=12 left-down x=1172 y=1836 wordForeground=True
2026-09-06T16:29:39.6618012+08:00 pid=75316 tid=12 left-down x=1172 y=1836 wordForeground=True
2026-09-06T16:30:23.7640520+08:00 pid=75316 tid=12 left-down x=739 y=1231 wordForeground=False
2026-09-06T16:30:34.9907921+08:00 pid=75316 tid=12 left-down x=1776 y=1270 wordForeground=False
2026-09-06T16:40:49.3209580+08:00 pid=75316 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T16:40:52.1783670+08:00 pid=75316 tid=12 left-down x=2332 y=460 wordForeground=False
2026-09-06T16:40:54.4993424+08:00 pid=75316 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T16:43:14.8432219+08:00 pid=75316 tid=12 left-down x=1776 y=1270 wordForeground=False
2026-09-06T16:44:45.5369572+08:00 pid=75316 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T16:45:50.3600582+08:00 pid=75316 tid=12 left-down x=691 y=1252 wordForeground=False
2026-09-06T16:46:00.1417748+08:00 pid=75316 tid=12 left-down x=191 y=1485 wordForeground=False
2026-09-06T16:46:02.9381512+08:00 pid=75316 tid=12 left-down x=2508 y=1121 wordForeground=True
2026-09-06T16:47:30.8220473+08:00 pid=75316 tid=12 left-down x=776 y=1255 wordForeground=False
2026-09-06T16:47:44.0027564+08:00 pid=75316 tid=12 left-down x=710 y=994 wordForeground=False
2026-09-06T16:47:45.9811335+08:00 pid=75316 tid=12 left-down x=699 y=1023 wordForeground=False
2026-09-06T16:47:47.6445045+08:00 pid=75316 tid=12 left-down x=743 y=1042 wordForeground=False
2026-09-06T16:47:50.0713840+08:00 pid=75316 tid=12 left-down x=764 y=1021 wordForeground=False
2026-09-06T16:47:54.1527772+08:00 pid=75316 tid=12 left-down x=831 y=1077 wordForeground=False
2026-09-06T16:48:04.4506672+08:00 pid=75316 tid=12 left-down x=1046 y=1329 wordForeground=False
2026-09-06T16:48:38.4825549+08:00 pid=75316 tid=12 left-down x=271 y=1440 wordForeground=False
2026-09-06T16:48:40.3528911+08:00 pid=75316 tid=12 left-down x=253 y=1462 wordForeground=False
2026-09-06T16:48:43.7237304+08:00 pid=75316 tid=12 left-down x=270 y=1333 wordForeground=False
2026-09-06T16:48:46.7157223+08:00 pid=75316 tid=12 left-down x=196 y=705 wordForeground=False
2026-09-06T16:48:49.8326496+08:00 pid=75316 tid=12 left-down x=135 y=384 wordForeground=False
2026-09-06T16:58:18.3376065+08:00 pid=75316 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T16:58:21.4285385+08:00 pid=75316 tid=12 left-down x=2332 y=460 wordForeground=False
2026-09-06T16:58:23.8377435+08:00 pid=75316 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T16:59:23.4637372+08:00 pid=75316 tid=12 left-down x=1776 y=1270 wordForeground=False
2026-09-06T17:00:18.0303583+08:00 pid=75316 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T17:03:54.1073288+08:00 pid=75316 tid=12 left-down x=711 y=1181 wordForeground=False
2026-09-06T17:04:01.8965012+08:00 pid=75316 tid=12 left-down x=2039 y=1034 wordForeground=True
2026-09-06T17:04:11.4160989+08:00 pid=75316 tid=12 left-down x=759 y=1233 wordForeground=False
2026-09-06T17:06:40.4184767+08:00 pid=75316 tid=12 left-down x=672 y=1256 wordForeground=False
2026-09-06T17:06:49.3010279+08:00 pid=75316 tid=12 left-down x=250 y=1460 wordForeground=False
2026-09-06T17:06:52.2884552+08:00 pid=75316 tid=12 left-down x=902 y=1143 wordForeground=False
2026-09-06T17:08:06.4015977+08:00 pid=75316 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T17:08:09.3797733+08:00 pid=75316 tid=12 left-down x=2332 y=460 wordForeground=False
2026-09-06T17:08:11.8214136+08:00 pid=75316 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T17:08:27.3387228+08:00 pid=75316 tid=12 left-down x=1776 y=1270 wordForeground=False
2026-09-06T17:08:40.2846157+08:00 pid=75316 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T17:09:35.3111886+08:00 pid=75316 tid=12 left-down x=841 y=1058 wordForeground=False
2026-09-06T17:10:29.4398471+08:00 pid=75316 tid=12 left-down x=1945 y=1414 wordForeground=True
2026-09-06T17:10:33.3970732+08:00 pid=75316 tid=12 left-down x=782 y=1229 wordForeground=False
2026-09-06T17:10:36.9336083+08:00 pid=75316 tid=12 left-down x=720 y=1078 wordForeground=False
2026-09-06T17:10:40.0050095+08:00 pid=75316 tid=12 left-down x=607 y=974 wordForeground=False
2026-09-06T17:10:43.5334845+08:00 pid=75316 tid=12 left-down x=1871 y=407 wordForeground=False
2026-09-06T17:10:47.5936225+08:00 pid=75316 tid=12 left-down x=2301 y=1453 wordForeground=True
2026-09-06T17:11:35.9753705+08:00 pid=75316 tid=12 left-down x=1776 y=1270 wordForeground=False
2026-09-06T17:13:18.3666126+08:00 pid=75316 tid=12 left-down x=837 y=1224 wordForeground=False
2026-09-06T17:14:14.7360510+08:00 pid=75316 tid=12 left-down x=1838 y=688 wordForeground=True
2026-09-06T17:15:23.1531772+08:00 pid=75316 tid=12 left-down x=1141 y=1087 wordForeground=True
2026-09-06T17:15:23.9825162+08:00 pid=75316 tid=12 left-down x=1141 y=1087 wordForeground=True
2026-09-06T17:16:49.0339044+08:00 pid=75316 tid=12 left-down x=779 y=1278 wordForeground=False
2026-09-06T17:18:47.9630853+08:00 pid=75316 tid=12 left-down x=770 y=1201 wordForeground=False
2026-09-06T17:18:55.0959495+08:00 pid=75316 tid=12 left-down x=2258 y=1350 wordForeground=True
2026-09-06T17:20:32.8304428+08:00 pid=75316 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T17:20:35.6504790+08:00 pid=75316 tid=12 left-down x=2332 y=460 wordForeground=False
2026-09-06T17:20:38.2665863+08:00 pid=75316 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T17:22:09.5773085+08:00 pid=75316 tid=12 left-down x=1935 y=1345 wordForeground=True
2026-09-06T17:22:12.9194732+08:00 pid=75316 tid=12 left-down x=1808 y=1615 wordForeground=True
2026-09-06T17:23:03.9775691+08:00 pid=75316 tid=12 left-down x=1776 y=1270 wordForeground=False
2026-09-06T17:23:32.1952455+08:00 pid=75316 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T17:32:00.2629645+08:00 pid=75316 tid=12 left-down x=868 y=930 wordForeground=False
2026-09-06T17:32:11.9638347+08:00 pid=75316 tid=12 left-down x=716 y=707 wordForeground=False
2026-09-06T17:32:14.4728694+08:00 pid=75316 tid=12 left-down x=653 y=533 wordForeground=False
2026-09-06T17:32:17.7639196+08:00 pid=75316 tid=12 left-down x=1891 y=416 wordForeground=False
2026-09-06T17:34:00.8665816+08:00 pid=75316 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T17:34:04.1227670+08:00 pid=75316 tid=12 left-down x=2332 y=460 wordForeground=False
2026-09-06T17:34:06.6676365+08:00 pid=75316 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T17:35:38.9434947+08:00 pid=75316 tid=12 left-down x=675 y=1190 wordForeground=False
2026-09-06T17:35:45.6230242+08:00 pid=75316 tid=12 left-down x=1961 y=1652 wordForeground=True
2026-09-06T17:35:48.7139378+08:00 pid=75316 tid=12 left-down x=1986 y=1555 wordForeground=True
2026-09-06T17:36:00.2746327+08:00 pid=75316 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T17:36:03.4672938+08:00 pid=75316 tid=12 left-down x=2332 y=460 wordForeground=False
2026-09-06T17:36:06.0751086+08:00 pid=75316 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T17:38:53.5821064+08:00 pid=75316 tid=12 left-down x=813 y=1058 wordForeground=False
2026-09-06T17:39:05.5372361+08:00 pid=75316 tid=12 left-down x=2050 y=1012 wordForeground=True
2026-09-06T17:39:09.2131335+08:00 pid=75316 tid=12 left-down x=255 y=1492 wordForeground=False
2026-09-06T17:39:12.1373284+08:00 pid=75316 tid=12 left-down x=961 y=1043 wordForeground=False
2026-09-06T17:40:56.0982602+08:00 pid=75316 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T17:40:58.9371211+08:00 pid=75316 tid=12 left-down x=2332 y=460 wordForeground=False
2026-09-06T17:41:01.3423189+08:00 pid=75316 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T17:41:57.8288210+08:00 pid=75316 tid=12 left-down x=1776 y=1270 wordForeground=False
2026-09-06T17:42:16.1677376+08:00 pid=75316 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T17:44:00.3465718+08:00 pid=75316 tid=12 left-down x=596 y=1205 wordForeground=False
2026-09-06T17:44:21.0451645+08:00 pid=75316 tid=12 left-down x=2094 y=1018 wordForeground=True
2026-09-06T17:44:24.4148907+08:00 pid=75316 tid=12 left-down x=763 y=1215 wordForeground=False
2026-09-06T17:45:08.4619259+08:00 pid=75316 tid=12 left-down x=737 y=1273 wordForeground=False
2026-09-06T17:45:12.9674274+08:00 pid=75316 tid=12 left-down x=2357 y=1096 wordForeground=False
2026-09-06T17:47:33.2993150+08:00 pid=75316 tid=12 left-down x=894 y=1217 wordForeground=False
2026-09-06T17:47:52.4299806+08:00 pid=75316 tid=12 left-down x=1382 y=1120 wordForeground=False
