2026-09-06T11:48:59.1878250+08:00 pid=27764 tid=12 left-down x=1347 y=1604 wordForeground=False
2026-09-06T11:53:50.5704153+08:00 pid=27764 tid=12 left-down x=1083 y=2146 wordForeground=True
2026-09-06T11:54:07.0478164+08:00 pid=27764 tid=12 left-down x=1984 y=1086 wordForeground=False
2026-09-06T11:56:53.9254942+08:00 pid=27764 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T11:57:01.6615800+08:00 pid=27764 tid=12 left-down x=1838 y=818 wordForeground=True
2026-09-06T12:09:32.2449802+08:00 pid=27764 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T12:10:06.6264801+08:00 pid=27764 tid=12 left-down x=1838 y=688 wordForeground=True
2026-09-06T12:10:48.7910407+08:00 pid=27764 tid=12 left-down x=1151 y=1515 wordForeground=True
2026-09-06T12:10:49.3080507+08:00 pid=27764 tid=12 left-down x=1151 y=1515 wordForeground=True
2026-09-06T12:12:07.3384115+08:00 pid=27764 tid=12 left-down x=1838 y=774 wordForeground=True
2026-09-06T12:12:58.7129304+08:00 pid=27764 tid=12 left-down x=1170 y=1320 wordForeground=True
2026-09-06T12:12:59.2661373+08:00 pid=27764 tid=12 left-down x=1170 y=1320 wordForeground=True
2026-09-06T12:16:38.1776208+08:00 pid=27764 tid=12 left-down x=801 y=814 wordForeground=True
2026-09-06T12:16:39.9568957+08:00 pid=27764 tid=12 left-down x=1006 y=849 wordForeground=False
2026-09-06T12:19:29.6001098+08:00 pid=27764 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T12:19:37.5249344+08:00 pid=27764 tid=12 left-down x=1838 y=688 wordForeground=True
2026-09-06T12:30:32.8176273+08:00 pid=27764 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T12:36:36.6393018+08:00 pid=27764 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T12:38:56.1461143+08:00 pid=27764 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T12:40:48.6136864+08:00 pid=27764 tid=12 left-down x=1838 y=860 wordForeground=True
2026-09-06T12:41:32.5057494+08:00 pid=27764 tid=12 left-down x=1183 y=1627 wordForeground=True
2026-09-06T12:41:33.1715616+08:00 pid=27764 tid=12 left-down x=1183 y=1627 wordForeground=True
2026-09-06T12:42:48.5912227+08:00 pid=27764 tid=12 left-down x=1838 y=732 wordForeground=True
2026-09-06T12:44:29.1981274+08:00 pid=27764 tid=12 left-down x=1838 y=688 wordForeground=True
2026-09-06T12:51:11.5528306+08:00 pid=27764 tid=12 left-down x=1302 y=747 wordForeground=False
2026-09-06T12:52:21.9458109+08:00 pid=27764 tid=12 left-down x=2058 y=1197 wordForeground=True
2026-09-06T12:59:16.9496653+08:00 pid=27764 tid=12 left-down x=1302 y=747 wordForeground=False
2026-09-06T13:00:33.6919658+08:00 pid=27764 tid=12 left-down x=2024 y=1163 wordForeground=True
2026-09-06T13:03:49.7958534+08:00 pid=27764 tid=12 left-down x=846 y=1216 wordForeground=False
2026-09-06T13:04:06.5767336+08:00 pid=27764 tid=12 left-down x=1992 y=1336 wordForeground=True
2026-09-06T13:04:08.6138837+08:00 pid=27764 tid=12 left-down x=1947 y=1234 wordForeground=True
2026-09-06T13:04:10.3907058+08:00 pid=27764 tid=12 left-down x=1796 y=1396 wordForeground=True
2026-09-06T13:04:11.5503282+08:00 pid=27764 tid=12 left-down x=1602 y=1458 wordForeground=True
2026-09-06T13:05:18.4194852+08:00 pid=27764 tid=12 left-down x=851 y=1174 wordForeground=False
2026-09-06T13:06:17.5395858+08:00 pid=27764 tid=12 left-down x=1302 y=747 wordForeground=False
2026-09-06T13:08:48.1548402+08:00 pid=27764 tid=12 left-down x=1302 y=747 wordForeground=True
2026-09-06T13:09:21.6190718+08:00 pid=27764 tid=12 left-down x=807 y=1221 wordForeground=False
2026-09-06T13:09:26.6542863+08:00 pid=27764 tid=12 left-down x=2025 y=1437 wordForeground=True
2026-09-06T13:09:28.1549699+08:00 pid=27764 tid=12 left-down x=1854 y=1262 wordForeground=True
2026-09-06T13:09:29.2853665+08:00 pid=27764 tid=12 left-down x=1605 y=1330 wordForeground=True
2026-09-06T13:11:25.5100982+08:00 pid=27764 tid=12 left-down x=2024 y=1163 wordForeground=True
2026-09-06T13:14:21.6977686+08:00 pid=27764 tid=12 left-down x=801 y=1230 wordForeground=False
2026-09-06T13:14:41.7182485+08:00 pid=27764 tid=12 left-down x=909 y=1354 wordForeground=False
2026-09-06T13:16:13.0176730+08:00 pid=27764 tid=12 left-down x=854 y=1380 wordForeground=False
2026-09-06T13:16:15.0681107+08:00 pid=27764 tid=12 left-down x=1838 y=1436 wordForeground=False
2026-09-06T13:20:48.1113627+08:00 pid=27764 tid=12 left-down x=897 y=1337 wordForeground=False
2026-09-06T13:22:16.6320642+08:00 pid=27764 tid=12 left-down x=1079 y=2134 wordForeground=True
2026-09-06T13:23:31.0538535+08:00 pid=27764 tid=12 left-down x=912 y=1198 wordForeground=True
2026-09-06T13:23:56.3967825+08:00 pid=27764 tid=12 left-down x=300 y=15 wordForeground=False
2026-09-06T13:25:29.3620269+08:00 pid=27764 tid=12 left-down x=832 y=1274 wordForeground=False
2026-09-06T13:28:26.4134870+08:00 pid=27764 tid=12 left-down x=663 y=1262 wordForeground=False
